Naked,0
Ancient Dragon Great Shield,0
Ancient Dragon Greatshield,0
Ancient Dragon Halberd,0
Anri’s Straight Sword,0
Aquamarine Dagger,0
Arbalest,0
Archdeacon’s Great Staff,0
Arstor’s Spear,0
Astora Greatsword,0
Astora Straight Sword,0
Avelyn,0
Bandit’s Knife,0
Barbed Straight Sword,0
Bastard Sword,0
Battle Axe,0
Black Blade,0
Black Bow of Pharis,0
Black Iron Greatshield,0
Black Knight Glaive,0
Black Knight Greataxe,0
Black Knight Greatsword,0
Black Knight Shield,0
Black Knight Sword,0
Blacksmith Hammer,0
Blessed Ancient Dragon Great Shield,0
Blessed Astora Greatsword,0
Blessed Astora Sword,0
Blessed Avelyn,0
Blessed Bandit’s Knife,0
Blessed Barbed Sword,0
Blessed Bastard Sword,0
Blessed Battle Axe,0
Blessed Black Blade,0
Blessed Black Iron Greatshield,0
Blessed Black Knight Glaive,0
Blessed Black Knight Greataxe,0
Blessed Black Knight Greatsword,0
Blessed Black Knight Shield,0
Blessed Black Knight Sword,0
Blessed Blacksmith Hammer,0
Blessed Blood-stained Short Sword,0
Blessed Blue Shield,0
Blessed Bonewheel Shield,0
Blessed Bow of Pharis,0
Blessed Brigand Axe,0
Blessed Brigand Twindaggers,0
Blessed Broadsword,0
Blessed Buckler,0
Blessed Butcher Knife,0
Blessed Caduceus Shield,0
Blessed Caestus,0
Blessed Carthus Greatsword,0
Blessed Carthus Shield,0
Blessed Carthus Shotel,0
Blessed Carthus Sword,0
Blessed Cathedral Greatshield,0
Blessed Cathedral Greatsword,0
Blessed Claw,0
Blessed Claymore,0
Blessed Cleric’s Parma,0
Blessed Club,0
Blessed Composite Bow,0
Blessed Corvian Greatknife,0
Blessed Corvian Scythe,0
Blessed Crescent Axe,0
Blessed Crest Shield,0
Blessed Crimson Parma,0
Blessed Crystal Rapier,0
Blessed Curse Ward Greatshield,0
Blessed Dagger,0
Blessed Dark Sword,0
Blessed Dragon Crest Shield,0
Blessed Dragonrider Bow,0
Blessed Dragonslayer’s Axe,0
Blessed Drakeblood Greatsword,0
Blessed Drang Hammers,0
Blessed Drang Twinspears,0
Blessed Dripping Candle Stick,0
Blessed Eagle Kite Shield,0
Blessed Eastern Shield,0
Blessed East-West Shield,0
Blessed Elkhorn Shield,0
Blessed Estoc,0
Blessed Executioner’s Straight Sword,0
Blessed Exile Greatsword,0
Blessed Falchion,0
Blessed Falcon Shield,0
Blessed Flamberge,0
Blessed Four-Pronged Plow,0
Blessed Four-pronged Plow,0
Blessed Ghru Rotshield,0
Blessed Glaive,0
Blessed Golden Wing Crest Shield,0
Blessed Gotthard Twinswords,0
Blessed Grass Crest Shield,0
Blessed Great Club,0
Blessed Great Mace,0
Blessed Great Machete,0
Blessed Great Scythe,0
Blessed Greataxe,0
Blessed Greatlance,0
Blessed Greatshield of Glory,0
Blessed Greatsword,0
Blessed Halberd,0
Blessed Hand Axe,0
Blessed Harpe,0
Blessed Heavy Crossbow,0
Blessed Hollowslayer Greatsword,0
Blessed Iron Shield,0
Blessed Kite Shield,0
Blessed Knight Shield,0
Blessed Knight’s Crossbow,0
Blessed Large Club,0
Blessed Large Leather Shield,0
Blessed Leather Shield,0
Blessed Llewellyn Shield,0
Blessed Longbow,0
Blessed Longsword,0
Blessed Lothric Greatshield,0
Blessed Lothric Greatsword,0
Blessed Lothric Long Spear,0
Blessed Lothric Shield,0
Blessed Lothric Sword,0
Blessed Lucerne,0
Blessed Mace,0
Blessed Mail Breaker,0
Blessed Manikin Claws,0
Blessed Missionary’s Axe,0
Blessed Morning Star,0
Blessed Murakumo,0
Blessed Notched Whip,0
Blessed Onikiri and Ubadachi,0
Blessed Parrying Dagger,0
Blessed Partizan,0
Blessed Pickaxe,0
Blessed Pierce Shield,0
Blessed Pike,0
Blessed Plank Shield,0
Blessed Pontiff Knight Shield,0
Blessed Porcine Shield,0
Blessed Rapier,0
Blessed Red and White Shield,0
Blessed Red Halberd,0
Blessed Reinforced Club,0
Blessed Rotten Ghru Dagger,0
Blessed Rotten Ghru Spear,0
Blessed Rotten Ghru Sword,0
Blessed Round Shield,0
Blessed Sacred Wood Crest Shield,0
Blessed Saint Bident,0
Blessed Scimitar,0
Blessed Sellsword Twinblades,0
Blessed Serpent Hatchet,0
Blessed Short Bow,0
Blessed Shortsword,0
Blessed Shotel,0
Blessed Silver Knight Shield,0
Blessed Small Leather Shield,0
Blessed Sniper Crossbow,0
Blessed Soldering Iron,0
Blessed Soldier’s Crossbow,0
Blessed Spear,0
Blessed Spider Shield,0
Blessed Spiked Mace,0
Blessed Spiked Shield,0
Blessed Stone Greatshield,0
Blessed Stone Parma,0
Blessed Sunlight Shield,0
Blessed Sunlight Straight Sword,0
Blessed Sunset Shield,0
Blessed Tailbone Short Sword,0
Blessed Target Shield,0
Blessed Temple Knight’s Crossbow,0
Blessed Thrall Axe,0
Blessed Twin Dragon Greatshield,0
Blessed Uchigatana,0
Blessed Warden Twinblades,0
Blessed Wargod Shield,0
Blessed Warpick,0
Blessed Warrior’s Shield,0
Blessed Washing Pole,0
Blessed Whip,0
Blessed Winged Knight Halberd,0
Blessed Winged Knight Twinaxes,0
Blessed Winged Spear,0
Blessed Wooden Hammer,0
Blessed Wooden Shield,0
Blessed Zweihander,0
Blood Ancient Dragon Great Shield,0
Blood Astora Greatsword,0
Blood Astora Sword,0
Blood Avelyn,0
Blood Bandit’s Knife,0
Blood Barbed Sword,0
Blood Bastard Sword,0
Blood Battle Axe,0
Blood Black Blade,0
Blood Black Iron Greatshield,0
Blood Black Knight Glaive,0
Blood Black Knight Greataxe,0
Blood Black Knight Greatsword,0
Blood Black Knight Shield,0
Blood Black Knight Sword,0
Blood Blacksmith Hammer,0
Blood Blood-stained Short Sword,0
Blood Blue Shield,0
Blood Bonewheel Shield,0
Blood Bow of Pharis,0
Blood Brigand Axe,0
Blood Brigand Twindaggers,0
Blood Broadsword,0
Blood Buckler,0
Blood Butcher Knife,0
Blood Caduceus Shield,0
Blood Caestus,0
Blood Carthus Greatsword,0
Blood Carthus Shield,0
Blood Carthus Shotel,0
Blood Carthus Sword,0
Blood Cathedral Greatshield,0
Blood Cathedral Greatsword,0
Blood Claw,0
Blood Claymore,0
Blood Cleric’s Parma,0
Blood Club,0
Blood Composite Bow,0
Blood Corvian Greatknife,0
Blood Corvian Scythe,0
Blood Crescent Axe,0
Blood Crest Shield,0
Blood Crimson Parma,0
Blood Crystal Rapier,0
Blood Curse Ward Greatshield,0
Blood Dagger,0
Blood Dark Sword,0
Blood Dragon Crest Shield,0
Blood Dragonrider Bow,0
Blood Dragonslayer’s Axe,0
Blood Drakeblood Greatsword,0
Blood Drang Hammers,0
Blood Drang Twinspears,0
Blood Dripping Candle Stick,0
Blood Eagle Kite Shield,0
Blood Eastern Shield,0
Blood East-West Shield,0
Blood Elkhorn Shield,0
Blood Estoc,0
Blood Executioner’s Straight Sword,0
Blood Exile Greatsword,0
Blood Falchion,0
Blood Falcon Shield,0
Blood Flamberge,0
Blood Four-Pronged Plow,0
Blood Four-pronged Plow,0
Blood Ghru Rotshield,0
Blood Glaive,0
Blood Golden Wing Crest Shield,0
Blood Gotthard Twinswords,0
Blood Grass Crest Shield,0
Blood Great Club,0
Blood Great Mace,0
Blood Great Machete,0
Blood Great Scythe,0
Blood Greataxe,0
Blood Greatlance,0
Blood Greatshield of Glory,0
Blood Greatsword,0
Blood Halberd,0
Blood Hand Axe,0
Blood Harpe,0
Blood Heavy Crossbow,0
Blood Hollowslayer Greatsword,0
Blood Iron Shield,0
Blood Kite Shield,0
Blood Knight Shield,0
Blood Knight’s Crossbow,0
Blood Large Club,0
Blood Large Leather Shield,0
Blood Leather Shield,0
Blood Llewellyn Shield,0
Blood Longbow,0
Blood Longsword,0
Blood Lothric Greatshield,0
Blood Lothric Greatsword,0
Blood Lothric Long Spear,0
Blood Lothric Shield,0
Blood Lothric Sword,0
Blood Lucerne,0
Blood Mace,0
Blood Mail Breaker,0
Blood Manikin Claws,0
Blood Missionary’s Axe,0
Blood Morning Star,0
Blood Murakumo,0
Blood Notched Whip,0
Blood Onikiri and Ubadachi,0
Blood Parrying Dagger,0
Blood Partizan,0
Blood Pickaxe,0
Blood Pierce Shield,0
Blood Pike,0
Blood Plank Shield,0
Blood Pontiff Knight Shield,0
Blood Porcine Shield,0
Blood Rapier,0
Blood Red and White Shield,0
Blood Red Halberd,0
Blood Reinforced Club,0
Blood Rotten Ghru Dagger,0
Blood Rotten Ghru Spear,0
Blood Rotten Ghru Sword,0
Blood Round Shield,0
Blood Sacred Wood Crest Shield,0
Blood Saint Bident,0
Blood Scimitar,0
Blood Sellsword Twinblades,0
Blood Serpent Hatchet,0
Blood Short Bow,0
Blood Shortsword,0
Blood Shotel,0
Blood Silver Knight Shield,0
Blood Small Leather Shield,0
Blood Sniper Crossbow,0
Blood Soldering Iron,0
Blood Soldier’s Crossbow,0
Blood Spear,0
Blood Spider Shield,0
Blood Spiked Mace,0
Blood Spiked Shield,0
Blood Stone Greatshield,0
Blood Stone Parma,0
Blood Sunlight Shield,0
Blood Sunlight Straight Sword,0
Blood Sunset Shield,0
Blood Tailbone Short Sword,0
Blood Target Shield,0
Blood Temple Knight’s Crossbow,0
Blood Thrall Axe,0
Blood Twin Dragon Greatshield,0
Blood Uchigatana,0
Blood Warden Twinblades,0
Blood Wargod Shield,0
Blood Warpick,0
Blood Warrior’s Shield,0
Blood Washing Pole,0
Blood Whip,0
Blood Winged Knight Halberd,0
Blood Winged Knight Twinaxes,0
Blood Winged Spear,0
Blood Wooden Hammer,0
Blood Wooden Shield,0
Blood Zweihander,0
Bloodlust,0
Blood-stained Short Sword,0
Blue Wooden Shield,0
Bonewheel Shield,0
Brigand Axe,0
Brigand Twindaggers,0
Broadsword,0
Broken Blessed Straight Sword,0
Broken Blood Straight Sword,0
Broken Chaos Straight Sword,0
Broken Crystal Straight Sword,0
Broken Dark Straight Sword,0
Broken Deep Straight Sword,0
Broken Fire Straight Sword,0
Broken Heavy Straight Sword,0
Broken Hollow Straight Sword,0
Broken Lightning Straight Sword,0
Broken Poison Straight Sword,0
Broken Raw Straight Sword,0
Broken Refined Straight Sword,0
Broken Sharp Straight Sword,0
Broken Simple Straight Sword,0
Broken Straight Sword,0
Buckler,0
Butcher Knife,0
Caduceus Round Shield,0
Caestus,0
Caitha’s Chime,0
Canvas Talisman,0
